date,approval,who
2001/7/17,55,time.cnn
2001/5/23,52,time.cnn
2001/3/21,55,time.cnn
2001/2/7,52,time.cnn
2004/2/1,56,upenn
2004/1/26,54,upenn
2004/1/21,64,upenn
2004/1/16,59,upenn
2004/1/1,60,upenn
2003/12/16,63,upenn
2003/12/1,59,upenn
2003/11/16,57,upenn
2003/1/1,55,upenn
2003/10/7,58,upenn
2004/1/15,49,zogby
2003/12/15,53,zogby
2003/12/4,49,zogby
2003/11/3,48,zogby
2003/10/15,49,zogby
2003/9/22,50,zogby
2003/9/3,45,zogby
2003/8/16,52,zogby
2003/7/16,53,zogby
2003/6/6,58,zogby
2003/4/8,61,zogby
2003/3/24,57,zogby
2003/3/14,54,zogby
2003/3/5,54,zogby
2003/2/19,57,zogby
2003/2/6,62,zogby
2003/1/24,57,zogby
2003/1/4,63,zogby
2002/10/26,64,zogby
2002/9/25,63,zogby
2002/7/19,63,zogby
2002/7/12,62,zogby
2002/6/17,69,zogby
2002/6/7,69,zogby
2002/5/28,70,zogby
2002/4/19,69,zogby
2002/3/25,74,zogby
2002/3/1,74,zogby
2002/1/29,74,zogby
2002/1/21,77,zogby
2002/1/14,79,zogby
2002/1/7,78,zogby
2002/1/2,80,zogby
2001/12/17,81,zogby
2001/12/10,82,zogby
2001/12/3,81,zogby
2001/10/23,78,zogby
2001/9/14,82,zogby
2001/8/28,50,zogby
2001/7/26,47,zogby
2001/6/24,51,zogby
2001/4/23,52,zogby
2001/3/27,52,zogby
2001/2/27,53,zogby
2001/2/9,57,zogby
